# OpenSignals Text File Format. Version 1
# {"98:D3:71:FE:38:1C": {"position": 0, "device": "bitalino_rev", "device name": "98:D3:71:FE:38:1C", "device connection": "BTH98:D3:71:FE:38:1C", "sampling rate": 1000, "resolution": [4, 1, 1, 1, 1, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-6-26", "time": "14:57:33.653", "channels": [1, 2], "sensor": ["ECGBIT", "EDABITREV"], "label": ["A1", "A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2"], "special": [{}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	490	719	
1	0	0	0	0	492	719	
2	0	0	0	0	494	718	
3	0	0	0	0	495	718	
4	0	0	0	0	496	719	
5	0	0	0	0	496	719	
6	0	0	0	0	494	719	
7	0	0	0	0	491	719	
8	0	0	0	0	488	718	
9	0	0	0	0	487	719	
10	0	0	0	0	484	718	
11	0	0	0	0	483	719	
12	0	0	0	0	481	719	
13	0	0	0	0	480	719	
14	0	0	0	0	482	719	
15	0	0	0	0	486	719	
0	0	0	0	0	490	719	
1	0	0	0	0	495	719	
2	0	0	0	0	497	719	
3	0	0	0	0	499	719	
4	0	0	0	0	500	719	
5	0	0	0	0	499	719	
6	0	0	0	0	496	719	
7	0	0	0	0	492	719	
8	0	0	0	0	489	719	
9	0	0	0	0	484	719	
10	0	0	0	0	480	719	
11	0	0	0	0	480	719	
12	0	0	0	0	482	719	
13	0	0	0	0	484	719	
14	0	0	0	0	486	719	
15	0	0	0	0	489	719	
0	0	0	0	0	492	719	
1	0	0	0	0	497	719	
2	0	0	0	0	501	719	
3	0	0	0	0	503	719	
4	0	0	0	0	504	719	
5	0	0	0	0	506	719	
6	0	0	0	0	504	719	
7	0	0	0	0	502	719	
8	0	0	0	0	496	719	
9	0	0	0	0	485	719	
10	0	0	0	0	476	719	
11	0	0	0	0	470	719	
12	0	0	0	0	468	719	
13	0	0	0	0	468	719	
14	0	0	0	0	470	719	
